Ano,Mes,Bioma,Area_Km2
2025,Janeiro,Amazônia,3131
2025,Janeiro,Caatinga,1887
2025,Janeiro,Cerrado,459
2025,Janeiro,Mata Atlântica,664
2025,Janeiro,Pampa,59
2025,Janeiro,Pantanal,104
2025,Fevereiro,Amazônia,496
2025,Fevereiro,Caatinga,157
2025,Fevereiro,Cerrado,840
2025,Fevereiro,Mata Atlântica,479
2025,Fevereiro,Pampa,109
2025,Fevereiro,Pantanal,16
2025,Março,Amazônia,1269
2025,Março,Caatinga,1578
2025,Março,Cerrado,2112
2025,Março,Mata Atlântica,663
2025,Março,Pampa,111
2025,Março,Pantanal,22
2025,Abril,Amazônia,393
2025,Abril,Caatinga,2852
2025,Abril,Cerrado,2114
2025,Abril,Mata Atlântica,772
2025,Abril,Pampa,271
2025,Abril,Pantanal,14
2025,Maio,Amazônia,1136
2025,Maio,Caatinga,1372
2025,Maio,Cerrado,7416
2025,Maio,Mata Atlântica,317
2025,Maio,Pampa,26
2025,Maio,Pantanal,35
2025,Junho,Amazônia,5130
2025,Junho,Caatinga,3228
2025,Junho,Cerrado,28029
2025,Junho,Mata Atlântica,652
2025,Junho,Pampa,0
2025,Junho,Pantanal,131
2025,Julho,Amazônia,3075
2025,Julho,Caatinga,5596
2025,Julho,Cerrado,26911
2025,Julho,Mata Atlântica,3069
2025,Julho,Pampa,8
2025,Julho,Pantanal,77
2025,Agosto,Amazônia,9654
2025,Agosto,Caatinga,9643
2025,Agosto,Cerrado,51362
2025,Agosto,Mata Atlântica,8636
2025,Agosto,Pampa,18
2025,Agosto,Pantanal,409
2025,Setembro,Amazônia,14193
2025,Setembro,Caatinga,29942
2025,Setembro,Cerrado,91169
2025,Setembro,Mata Atlântica,12520
2025,Setembro,Pampa,56
2025,Setembro,Pantanal,779
