Ano,Bioma,Area_Queimada
2003,Amazônia,113167
2003,Caatinga,82048
2003,Cerrado,175140
2003,Mata Atlântica,41607
2003,Pampa,2488
2003,Pantanal,7912
2004,Amazônia,157007
2004,Caatinga,41289
2004,Cerrado,198684
2004,Mata Atlântica,16397
2004,Pampa,1589
2004,Pantanal,18092
2005,Amazônia,160858
2005,Caatinga,65108
2005,Cerrado,181690
2005,Mata Atlântica,20589
2005,Pampa,1156
2005,Pantanal,27472
2006,Amazônia,97316
2006,Caatinga,39492
2006,Cerrado,118109
2006,Mata Atlântica,29973
2006,Pampa,1870
2006,Pantanal,7418
2007,Amazônia,154587
2007,Caatinga,56401
2007,Cerrado,329138
2007,Mata Atlântica,28523
2007,Pampa,1039
2007,Pantanal,18699
2008,Amazônia,74692
2008,Caatinga,50507
2008,Cerrado,139458
2008,Mata Atlântica,24967
2008,Pampa,1452
2008,Pantanal,11253
2009,Amazônia,56593
2009,Caatinga,31221
2009,Cerrado,74085
2009,Mata Atlântica,13553
2009,Pampa,2138
2009,Pantanal,13197
2010,Amazônia,112804
2010,Caatinga,50955
2010,Cerrado,304816
2010,Mata Atlântica,22898
2010,Pampa,811
2010,Pantanal,17743
2011,Amazônia,41880
2011,Caatinga,24701
2011,Cerrado,134988
2011,Mata Atlântica,19623
2011,Pampa,830
2011,Pantanal,7050
2012,Amazônia,66848
2012,Caatinga,46536
2012,Cerrado,247450
2012,Mata Atlântica,15643
2012,Pampa,1963
2012,Pantanal,13266
2013,Amazônia,35998
2013,Caatinga,28394
2013,Cerrado,111001
2013,Mata Atlântica,10760
2013,Pampa,774
2013,Pantanal,6575
2014,Amazônia,61309
2014,Caatinga,28059
2014,Cerrado,170731
2014,Mata Atlântica,14236
2014,Pampa,741
2014,Pantanal,2191
2015,Amazônia,93661
2015,Caatinga,47543
2015,Cerrado,190499
2015,Mata Atlântica,13513
2015,Pampa,1350
2015,Pantanal,7871
2016,Amazônia,65122
2016,Caatinga,33307
2016,Cerrado,151140
2016,Mata Atlântica,18532
2016,Pampa,1527
2016,Pantanal,11245
2017,Amazônia,91215
2017,Caatinga,29698
2017,Cerrado,158348
2017,Mata Atlântica,16190
2017,Pampa,1602
2017,Pantanal,9829
2018,Amazônia,43160
2018,Caatinga,25428
2018,Cerrado,85374
2018,Mata Atlântica,13217
2018,Pampa,615
2018,Pantanal,3094
2019,Amazônia,72250
2019,Caatinga,55518
2019,Cerrado,147651
2019,Mata Atlântica,19191
2019,Pampa,1398
2019,Pantanal,20834
2020,Amazônia,76421
2020,Caatinga,30401
2020,Cerrado,138540
2020,Mata Atlântica,15483
2020,Pampa,3119
2020,Pantanal,39768
2021,Amazônia,48062
2021,Caatinga,50877
2021,Cerrado,143342
2021,Mata Atlântica,21556
2021,Pampa,1247
2021,Pantanal,19442
2022,Amazônia,76818
2022,Caatinga,35461
2022,Cerrado,124855
2022,Mata Atlântica,9456
2022,Pampa,1089
2022,Pantanal,3028
2023,Amazônia,91860
2023,Caatinga,100311
2023,Cerrado,149864
2023,Mata Atlântica,16135
2023,Pampa,1180
2023,Pantanal,12996
2024,Amazônia,163345
2024,Caatinga,111074
2024,Cerrado,242053
2024,Mata Atlântica,48686
2024,Pampa,295
2024,Pantanal,27163
